,Framework Name,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
102,Flower Power NodeJS Framework by Parrot," This NodeJS Framework is a module to build a bridge form BLE sensors and the Parrot CLOUD. It works with any BLE-equipped/BLE-dongle-equipped computers. It aims to mimic the Flower Power iOS/Android application on a RaspBerryPi and requires Node (with npm) and BLE libraries. Parrot Pots and Sensors for plants are a self-watering system to monitor your Parrot Pot's light, temperature, soil moisture and fertilizer levels in real time. It sends out customized recommendations and alerts to help you better care for your plants.",03.01.2017,https://www.programmableweb.com/framework/flower-power-nodejs-framework-parrot,Node.js,Parrot SA​,https://github.com/Parrot-Developers/FlowerPower-Tools,https://github.com/Parrot-Developers/node-flower-bridge,https://github.com/Parrot-Developers/node-flower-bridge/blob/master/LICENSE
103,Sunrise PHP Framework by commercetools," The Sunrise PHP Framework by commercetools is a resource to access eCommerce tools via API, presenting a demo with the categories of product overview, cart detail, checkout methods, my account, registration email, and store finder.",03.01.2017,https://www.programmableweb.com/framework/sunrise-php-framework-commercetools,PHP,Commercetools,https://github.com/commercetools/commercetools-sunrise-theme,,https://commercetools.com/terms/
104,Sunrise Data Java Framework by commercetools," The Sunrise Data Java Framework by commercetools assists developers in implementing eCommerce tools via API, including CVS files to import product types, categories, and products.",03.01.2017,https://www.programmableweb.com/framework/sunrise-data-java-framework-commercetools,Java,Commercetools,https://github.com/commercetools/commercetools-sunrise-data,,https://commercetools.com/terms/
105,Sunrise Theme Java Framework by commercetools," The Sunrise Theme Java Framework by commercetools can implement eCommerce tools by interacting with the API, offering a demo with product overview, cart detail, checkout methods, my account, registration email, and store finder as available methods.",03.01.2017,https://www.programmableweb.com/framework/sunrise-theme-java-framework-commercetools,Java,Commercetools,https://github.com/commercetools/commercetools-sunrise-theme,,https://commercetools.com/terms/
106,Sunrise Starter Project Java Framework by commercetools," The Sunrise Starter Project Java Framework by commercetools can access eCommerce tools via API, providing preconditions, running instructions, and Heroku deployment as available resources.",03.01.2017,https://www.programmableweb.com/framework/sunrise-starter-project-java-framework-commercetools,Java,Commercetools,https://github.com/commercetools/commercetools-sunrise-java-starter,,https://commercetools.com/terms/
107,PhantomJS Framework," The PhantomJS Framework allows to write scripts without the need to use a browser. Along with an API in JavaScript language, Phantom supports JSON, DOM handling, CSS selector, JSON, Canvas, and SVG formats. With Phantom, developers ca test websites, capture screens, automate pages, and monitor networking. Created by Ariya Hidayat, Jamie Mason, and Maurice Svay.",03.01.2017,https://www.programmableweb.com/framework/phantomjs-framework,JavaScript,Independent Developer,http://phantomjs.org/,https://github.com/ariya/phantomjs/,
108,CasperJS Framework," The CasperJS Framework allows navigating, scripting, and testing PhantomJS and SlimerJS, both scriptable web kits. It is written in JavaScript and it offers an API with JSON architecture. With Casper, developers can create scenarios and interfaces to navigate the web, allowing the framework to perform tasks as a computer user. Created by Nicolas Perriault and collaborators.",03.01.2017,https://www.programmableweb.com/framework/casperjs-framework,JavaScript,Independent Developer,http://docs.casperjs.org/en/latest/,,
109,SlimerJS Framework," The SlimerJS Framework is available for download as a browser that developers can script. It enables to interact with a web page via an external JavaScript. Some of the benefits of Slimer aim to read and write files, load a page to evaluate content, simulate user actions such as click links and fill forms, monitoring the loading of a page, and take page screenshots. Created by developer Laurent Jouanneau and the developers' team La société Innophi.",03.01.2017,https://www.programmableweb.com/framework/slimerjs-framework,JavaScript,Independent Developer,http://slimerjs.org/,http://docs.slimerjs.org/current/,
110,Serverless Framework," The Serverless Framework in Node.js language, assists in the development of applications that can be auto-scalable, event-driven, and executed by pay. It utilizes Amazon Web Services Lambda with the aim to produce results without the need of a server.",03.01.2017,https://www.programmableweb.com/framework/serverless-framework,Node.js,Serverless,https://serverless.com/,https://serverless.com/framework/docs/,
111,Beego Framework," The Beego HTTP Framework aims to speed up the creation of Go applications. Developers can build APIs, web apps, and backend services.",03.01.2017,https://www.programmableweb.com/framework/beego-framework,Go,Beego,http://beego.me/docs/intro/,,
112,Mockito Framework," The Mockito Framework tests Java units. Developers can declare dependencies on the library, recommending Gradle as a build system. Interactions can be verified as well as stub method calls. Use Mockito to automate tests, sustain development, and minimize defects.",03.01.2017,https://www.programmableweb.com/framework/mockito-framework,Java,Independent Developer,http://mockito.org/,https://github.com/mockito/mockito,
113,Guzzle PHP Framework," The Guzzle PHP Framework offers all the tools necessary for building RESTful web service clients. This Framework features PSR-7 based streams request and response bodies, persistent connections and parallel requests, plugins for OAuth and logging, and is powered by the Symfony2 EventDispatcher. Additionally, it supports both synchronous and asynchronous requests with the same interface, and client behavior constructs with a middleware system.",03.01.2017,https://www.programmableweb.com/framework/guzzle-php-framework,PHP,,http://docs.guzzlephp.org/en/latest/,,
114,Yawp Java Web Framework," The Yawp Java Web Framework in REST architecture aims to provide productivity and scalability to create APIs. Features include query API, security shields, model hooks, asynchronous pipes, Google App Engine support, and PostgreSQL JsonB as manual scaling.",03.01.2017,https://www.programmableweb.com/framework/yawp-java-web-framework,Java,,http://yawp.io/guides/getting-started/introduction,,
115,WorkShare Ruby Framework by WorkShare," The WorkShare Ruby Framework by WorkShare helps developers to integrate file sharing features into applications. It includes functionality, configuration, and libraries.",03.01.2017,https://www.programmableweb.com/framework/workshare-ruby-framework-workshare,Ruby,,https://github.com/pdegrazia/apiframework,,
116,Siesta Framework for Swift and Objective-C," Siesta is a framework for writing REST clients for iOS 8+ and macOS / OS X 10.11+. It provides a client-side cache of observable models for RESTful resources in order to simplify app code. Siesta is written in Swift, but supports apps in both Swift and Objective-C. This framework requires Xcode 7 and Swift 2.0.",03.01.2017,https://www.programmableweb.com/framework/siesta-framework-swift-and-objective-c,"Objective-C, Swift",,https://bustoutsolutions.github.io/siesta/,https://github.com/bustoutsolutions/siesta,
117,Enyo Javascript Framework," Enyo is a JavaScript framework for building native-quality HTML5 apps. It can be used to develop apps for all major platforms, including phones, tablets, PCs, and TVs. Enyo is provided for free under the Apache 2 License.",03.01.2017,https://www.programmableweb.com/framework/enyo-javascript-framework,"JavaScript, Node.js",,http://enyojs.com/,,
118,Ruby on Rails Framework by Rails," Ruby on Rails Framework is a web framework that allows developers to construct database-supported applications as per the prescribed requirements of the Model-View-Controller (MVC) pattern. The knowledge of the MVC is a prerequisite for deploying the Ruby on Rails framework, considering that it splits the developer’s application into model layer, controller layer, and view layer. Whereas the model layer is the domain model that forms the backbone of the developer’s application, the controller layer processes relevant responses to inbound HTTP requests. The view layer, on the other hand, generates representations for resources related to the developer’s application.",03.01.2017,https://www.programmableweb.com/framework/ruby-rails-framework-rails,Ruby,rubyonrails.org,http://rubyonrails.org/,https://github.com/rails/rails,
119,Limoncello PHP Framework, Limoncello PHP framework is available for download and installation from Packagist. Additional models can be found on GitHub repository.,03.01.2017,https://www.programmableweb.com/framework/limoncello-php-framework,PHP,,https://packagist.org/packages/limoncello-php/models,https://github.com/limoncello-php/models,
120,jQuery JavaScript Framework by The jQuery Foundation," jQuery is a JavaScript framework that aims to simplify web design. It can be used in multiple browsers - including Internet Explorer, Chrome, Firefox, Safari, and Opera - to add and manage elements, events, callbacks, and more. jQuery is CSS3 compliant.",03.01.2017,https://www.programmableweb.com/framework/jquery-javascript-framework-jquery-foundation,JavaScript,The jQuery Foundation,https://jquery.com/,,
121,Bootbox JavaScript Framework by Nick Payne," Bootbox is a JavaScript Framework for creating programmatic dialog boxes using Bootstrap modals. It removes the burden of creating, managing, and removing the required DOM elements or JS event handlers from the user. This framework is offered under the MIT License.",03.01.2017,https://www.programmableweb.com/framework/bootbox-javascript-framework-nick-payne,JavaScript,Independent Developer,http://bootboxjs.com/,https://github.com/makeusabrew/bootbox,
122,Blueprint CSS Framework by BluePrint," Blueprint is a CSS framework that aims to provide web developers with a way to minimize design work. Blueprint's intent is to offer common CSS classes and other web design tools, so developers don't have to start from scratch. The framework proposes built-in grid layouts, typography, plugins, printing stylesheets, and IE browser compatibility while also working with most programming languages such as PHP and Ruby on Rails.",03.01.2017,https://www.programmableweb.com/framework/blueprint-css-framework-blueprint,CSS,,http://www.blueprintcss.org/,https://github.com/joshuaclayton/blueprint-css/tree/master,
123,Garage Rails Framework by Cookpad, Garage is a Ruby on Rails framework that allows developers to add RESTful hypermedia APIs to their applications. It provides a descriptive way to serve both ActiveRecord models and Ruby objects as JSON-based resources.,03.01.2017,https://www.programmableweb.com/framework/garage-rails-framework-cookpad,Ruby,,https://github.com/cookpad/garage,,
124,Apache Mesos JavaScript Framework by Tobilg," The Apache Mesos JavaScript Framework by Tobilg provides a JavaScript language platform for constructing applications for Mesos HTTP APIs. Developers can deploy the framework in the development of applications for various APIs including Mesos Executor HTTP, Mesos Scheduler HTTP, and Mesos Operator HTTP APIs.",03.01.2017,https://www.programmableweb.com/framework/apache-mesos-javascript-framework-tobilg,JavaScript,Apache Software Foundation,https://github.com/tobilg/mesos-framework,,https://github.com/tobilg/mesos-framework/commit/1e2c14867571ff81cd354ccce7ad839daf1fb124
125,Hapi.js Node.js Framework," Hapi.js is a configuration-centric framework that allows developers to reuse application logic in a ""highly modular and prescriptive approach"". It offers built-in support for input validation, caching, authentication, and others. This framework is used to build enterprise-quality web applications and services.",10.31.2016,https://www.programmableweb.com/framework/hapijs-nodejs-framework,Node.js,,http://hapijs.com/,https://github.com/hapijs/hapi,
126,Kitura, The Kitura Framework by IBM allows developers to build applications on Bluemix with the aim to interact via Mac and Linux. It is web-based written on Swift language.,10.31.2016,https://www.programmableweb.com/framework/kitura,Swift,IBM,https://developer.ibm.com/swift/kitura/,,https://developer.ibm.com/terms-of-use/
127,Strapi Node.js Framework by Strapi," The Strapi Node.js Framework by Strapi helps developers to build back end applications and services. It includes installation, link to the Strapi studio, and resources to create a project.",10.31.2016,https://www.programmableweb.com/framework/strapi-node.js-framework-strapi,Node.js,Independent Developer,https://www.npmjs.com/package/strapidev-generate-api,,
128,Nette PHP Framework by Nette Foundation, The Nette PHP Framework simplifies the development of PHP websites. It fortifies the security of websites and enhances the overall performance of web development applications. The framework that is fully compatible with the PHP 7 requires the minimum of version 5.6.0 of the PHP language platform.,10.31.2016,https://www.programmableweb.com/framework/nette-php-framework-nette-foundation,PHP,Nette Foundation,https://nette.org/en/,https://github.com/nette/nette,https://nette.org/terms-of-use
129,Cistern Ruby Framework by Josh Lane, Cistern is a Ruby-based framework that was extracted from Fog. It is designed to help users build their API clients consistently and to facilitate building mock support. This framework has no dependencies.,06.30.2016,https://www.programmableweb.com/framework/cistern-ruby-framework-josh-lane,Ruby,Independent Developer,https://github.com/lanej/cistern,,
130,DeviantART Cocoa Framework by Sam Shull," The DeviantART Cocoa Framework by Sam Shull authenticates and uploads content to Stash, DeviantART upload and publishing platform. It includes a reference to Sparkle project, available at https://sparkle-project.org/",06.30.2016,https://www.programmableweb.com/framework/deviantart-cocoa-framework-sam-shull,Objective-C,Independent Developer,https://github.com/samshull/deviantART-Cocoa-Framework,,
131,Python Eve Framework," Eve is a Python framework that allows developers to build and deploy fully-featured RESTful web services. This framework is powered by Flask, Redis, Cerberus, and Events. It offers support for both MongoDB and SQL and has been tested with Python 2.6, 2.7, 3.3, 3.4, and PyPy.",06.28.2016,https://www.programmableweb.com/framework/python-eve-framework,Python,,http://python-eve.org/,,
132,Comic Vine Ruby SDK by Patrick Sharp, The Comic Vine Ruby SDK by Patrick Sharp interacts with the API to access comic database functionalities. It provides installation and usage.,06.22.2016,https://www.programmableweb.com/framework/comic-vine-ruby-sdk-patrick-sharp,Ruby,Independent Developer,https://github.com/Jakanapes/ComicVine,,
133,Gbone JavaScript Framework by Gobhi Theivendran," The Gbone JavaScript framework written on top of Backbone, intended for building mobile JavaScript applications. The framework aims to be dependent on Backbone, Underscore, and Zepto/jQuery.",06.22.2016,https://www.programmableweb.com/framework/gbone-javascript-framework-gobhi-theivendran,JavaScript,Independent Developer,https://github.com/gobhi/gbone.js,,
134,Vertebrae JavaScript Framework by Bill Heaton," The Vertabrae JavaScript framework's goal is to add overall structure to Backbone.js applications. Features intended to provide for developers include: Dynamic script loading, AMD module format, dependency management, build with largely open source libraries, organize code in packages, optimize and build for one or many single page apps, host on fully cached server, e.g. no server-side scripting using only an API for data, and behaviour driven development.",06.22.2016,https://www.programmableweb.com/framework/vertebrae-javascript-framework-bill-heaton,JavaScript,Independent Developer,https://github.com/pixelhandler/vertebrae,,
135,Backbone Faux Server JavaScript Framework by Alex Lambiris," The Backbone Faux Serve is a framework that intended for mocking up server-side persistence / processing for Backbone.js. The goal of the framework is to override Backbone's native sync by triggering invoking a route's handler by using the syncing of a Model (or Collection) and its URL alongside the sync method. When a pair forms that matches a defined route, the route's handler is invoked.",06.22.2016,https://www.programmableweb.com/framework/backbone-faux-server-javascript-framework-alex-lambiris,JavaScript,Independent Developer,https://github.com/biril/backbone-faux-server,,
136,Recognize.IM Objective-C SDK by Alessio Bassio," Recognize.IM Objective-C SDK by Alessio Bassio interacts with the API to access image recognition capabilities, aiming to be useful in mobile integration. It includes a Cordova plugin.",06.20.2016,https://www.programmableweb.com/framework/recognize.im-objective-c-sdk-alessio-bassio,Objective-C,Independent Developer,https://github.com/alexdown/recognize.im-cordova-plugin,,
137,CloudCMS JavaScript SDK by CloudCMS," The CloudCMS JavaScript SDK by CloudCMS integrates content management features via API. It offers content retrieval, cluster-wide caching and broadcasting, and tag processing.",06.20.2016,https://www.programmableweb.com/framework/cloudcms-javascript-sdk-cloudcms,JavaScript,Cloud CMS,https://github.com/gitana/cloudcms-server,,
138,Electron Framework," Electron is a framework that helps developers write cross-platform desktop applications using JavaScript, HTML, and CSS. This framework is based on Node.js and Chromium. It is also used in the Atom editor.",06.13.2016,https://www.programmableweb.com/framework/electron-framework,Node.js,Electron,http://electron.atom.io/,https://github.com/electron/electron,
139,Luca JavaScript Framework by Jonathan Soeder," The Luca framework intends to be a component architecture framework based on Backbone.js, which aims to include many development helpers, classes, patterns, and tools needed to build scalable and clean single page applications. It uses twitter Bootstrap compatible markup and CSS naming conventions with the goal to produce styled user interfaces with JSON alone.",06.13.2016,https://www.programmableweb.com/framework/luca-javascript-framework-jonathan-soeder,JavaScript,Independent Developer,http://datapimp.com/luca/,https://github.com/datapimp/luca,
140,Lazy Bone JaveScript Framework by Break Yang," The LazyBone framework, written in JavaScript, intends to provide a platform to write simple lisp code and generating code for both client-side and server-side. The framework aims to provide features such as: Generating javascript code dynamically, built upon Backbone.js for the client as well as HTML dynamically with html-template. and provide some continuation-based syntax, which is natural in web application development in addition to other features.",06.13.2016,https://www.programmableweb.com/framework/lazy-bone-javescript-framework-break-yang,JavaScript,Independent Developer,https://github.com/breakds/lazy-bone,,
141,Broad Street JavaScript Framework by Kris Range," BroadStreet framework aims to provide developers with an HTML5, Backbone.js and JQuery Control Set for mobile applications.",06.13.2016,https://www.programmableweb.com/framework/broad-street-javascript-framework-kris-range,JavaScript,Independent Developer,https://github.com/DarrenHurst/BroadStreet,,
142,Cerebral JavaScript Framework by Jørn Andre Tangen," The Cerebral framework/library is meant to extend the base functionality of Backbone.js and intended to provide robust patterns of modularity, module loading, unloading and loosely coupled module communication through a pub-sub application core.",06.13.2016,https://www.programmableweb.com/framework/cerebral-javascript-framework-j%C3%B8rn-andre-tangen,JavaScript,Independent Developer,https://github.com/gorillatron/cerebral,,
143,Chalice JavaScript Framework by Shane, The Chalice JavaScript Framework intends to be a smaller framework that works on top of CoffeeScript Backbone and Node to render apps on the client and server side of applications.,06.13.2016,https://www.programmableweb.com/framework/chalice-javascript-framework-shane,JavaScript,Independent Developer,https://github.com/shanejonas/chalice,,
144,Capsule JavaScript Framework by Henrik Joreteg, The Capsule JavaScript frameworks aims to be an experimental web framework for Node.js that intends to use Socket.io and Backbone.js to synchronize model state by sharing model code between the client and the server.,06.13.2016,https://www.programmableweb.com/framework/capsule-javascript-framework-henrik-joreteg,JavaScript,Independent Developer,https://github.com/HenrikJoreteg/Capsule,,
145,Tres JavaScript Framework by Julio Ceasar," The Tres JavaScript frameworks aims to offer an implementation of a Backbone.js pattern, with the intention to simplify application development by giving views control over animations on the screen.",06.13.2016,https://www.programmableweb.com/framework/tres-javascript-framework-julio-ceasar,JavaScript,Independent Developer,https://github.com/juliocesar/tres,,
146,Singool.js JavaScript Framework by Fahad Ibnay Heylaal, Singool intends to be a lightweight JavaScript framework for developing single-page web applications,06.13.2016,https://www.programmableweb.com/framework/singool.js-javascript-framework-fahad-ibnay-heylaal,JavaScript,Independent Developer,http://fahad19.github.io/singool/,https://github.com/fahad19/singool,
147,Crossref Python SDK by Scott Chamberlain," The Crossref Python SDK by Scott Chamberlain communicates with the API to access reference search features. It includes documentation, installation, and usage.",06.07.2016,https://www.programmableweb.com/framework/crossref-python-sdk-scott-chamberlain,Python,Independent Developer,http://blog.crossref.org/2016/03/python-and-ruby-libraries-for-accessing-the-crossref-api.html,https://github.com/sckott/habanero,
148,Scoop.it PHP Framework by zenria," The Scoop.it PHP framework by zenria can access the API to integrate content features into emails, blogs, and social media. Instructions explain how to install cURL and copy configuration sample.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-php-framework-zenria,PHP,Independent Developer,https://github.com/vdemay/Scoopit-PHP,,
149,Scoop.it Java Framework by Vincent Demay," The Scoop.it Java Framework by Vincent Demay interacts with the API to integrate content features into emails, blogs, and social media. Resources include installation and usage.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-java-framework-vincent-demay,Java,Independent Developer,https://github.com/vdemay/Scoopit-Java,,
150,Scoop.it iOS Framework by Vincent Demay," The Scoop.it iOS Framework by Vincent Demay can access the API to integrate content features into emails, blogs, and social media. Visual resources explain how to create a project using the framework.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-ios-framework-vincent-demay,Objective-C,Independent Developer,https://github.com/vdemay/ScoopItFramework,,
151,Feathers Node.js Framework by Feathers Contributors," Feathers is a framework that enables real-time applications and REST APIs using JavaScript or TypeScript with Node.js. Feathers works with any frontend technology like React, Vue.js, Angular, Android or iOS. Feathers uses services and workflows instead of creating routes, requests or response handlers. This allows developers to work on application logic independently from how it is being accessed in order to automatically provide REST APIs, and WebSocket APIs.",05.24.2016,https://www.programmableweb.com/framework/feathers-node.js-framework-feathers-contributors,Node.js,Independent Developer,https://docs.feathersjs.com/,https://github.com/feathersjs/feathers,
152,Base PHP SDK by Base," The Base PHP SDK by Base integrates customer relationship features into applications. Usage demonstrates how to build a client, interact with architecture, and handle errors.",05.23.2016,https://www.programmableweb.com/framework/base-php-sdk-base,PHP,Base CRM,https://developers.getbase.com/docs/rest/articles/libraries,https://github.com/basecrm/basecrm-php,
153,Hug Python Framework by Timothy Edmund Crosley, Hug is a Python Framework created by Timothy Edmund Crosley that is designed to make developing APIs in Python as simple as possible. Hug requires Python 3+ and is provided under the MIT License.,05.20.2016,https://www.programmableweb.com/framework/hug-python-framework-timothy-edmund-crosley,Python,Independent Developer,https://github.com/timothycrosley/hug,,
154,Pin Payments C# SDK by Pin Payments," The Pin Payments C# SDK by Pin Payments allows API communication to integrate credit card features into applications. An example available demonstrates a card post charge with its respective description, amount, and currency.",05.17.2016,https://www.programmableweb.com/framework/pin-payments-c-sdk-pin-payments,C#,Pin Payments,https://pin.net.au/docs/languages/csharp,,
155,Cocos2d Scala Framework by Cocos2d," Cocos2d-x Scala framework intends to offera suite of open-source, cross-platform, game-development tools for developers. The framework focuses on back-end development to allow for more front-end software development.",05.17.2016,https://www.programmableweb.com/framework/cocos2d-scala-framework-cocos2d,Java,Cocos2D-XNA,http://www.cocos2d-x.org/,,
156,Cocos2d-Pure Swift Objective-C Framework by Cocos2d, The Cocos2d-Pure Swift Objective-C Framework is a free and open source 2D game development framework. It intends to provide node hierarchy for Cocos2d game application development.,05.17.2016,https://www.programmableweb.com/framework/cocos2d-pure-swift-objective-c-framework-cocos2d,Objective-C,Cocos2D-XNA,http://cocos2d-objc.org/,,
157,Blue Trip CSS Framework by Mike Crittenden," Blue Trip is a CSS framework that intends to offer web developers a 24 column grid layout, printing stylesheets, and form styling, all with a strong emphasis on typography to build upon for their website development projects.",05.17.2016,https://www.programmableweb.com/framework/blue-trip-css-framework-mike-crittenden,CSS,,https://github.com/mikecrittenden/bluetrip/,,
158,Bootstrap JavaScript Framework by Mark Otto and Jacob," Bootstrap is a Framework for developing web projects with HTML, CSS, and JavaScript. Bootstrap can scale websites and applications across different devices, such as phones and desktops. It is designed for projects of all sizes and developers of all skill levels.",05.17.2016,https://www.programmableweb.com/framework/bootstrap-javascript-framework-mark-otto-and-jacob,"CSS, JavaScript",Independent Developer,http://getbootstrap.com/,https://github.com/twbs/bootstrap,
159,Broilerplate CSS Framework by BroilerPlate," The Broilerplate CSS framework's goal is to bring a lighter version of the Blueprint CSS framework, with the intent to allow for more freedom for developers in the overall design and development of websites.
The idea is to contribute more basic grids, typography, and stylesheets without the suggestion of un-semantic naming conventions.",05.17.2016,https://www.programmableweb.com/framework/broilerplate-css-framework-broilerplate,CSS,,http://code.google.com/p/css-boilerplate/,,
160,Emastic CSS Framework by Emastic," Emastic is a CSS Framework that aims to offer various features to enhance CSS grids, and develop a baseline typography for web applications.",05.17.2016,https://www.programmableweb.com/framework/emastic-css-framework-emastic,CSS,,http://code.google.com/p/emastic/,,
161,Cocos2d Python Framework by Cocos2d," Cocos2d is a Python framework for building 2D games, demos, and other graphical/interactive applications. It aims to provide some conventions and classes to help with the structure of a ""scene based application"", including a workflow connecting the different scenes.",05.17.2016,https://www.programmableweb.com/framework/cocos2d-python-framework-cocos2d,Python,,http://python.cocos2d.org/,https://github.com/los-cocos/cocos,
162,Baseline CSS Framework by Baseline," Baseline is a CSS framework that intends to offer a platform for developing a website with a focus on grid aesthetic and well developed typography. The framework's goal is to start with several files in order to reset the browser’s default behavior, build a basic typographic layout — including style for HTML forms and new HTML 5 elements — and build a simple grid system.",05.17.2016,https://www.programmableweb.com/framework/baseline-css-framework-baseline,CSS,,http://www.baselinecss.com/,,
163,FakeItEasy .Net Framework by FakeItEasy," The FakeItEasy .Net Framework by FakeItEasy allows developers to create fake objects, mocks, stubs, etc. This .Net framework is compatible with both C# and VB.Net.",05.03.2016,https://www.programmableweb.com/framework/fakeiteasy-.net-framework-fakeiteasy,.Net,Independent Developer,https://github.com/FakeItEasy/FakeItEasy,,
164,Apache Hadoop Java Framework by Apache," Apache Hadoop aims to be a framework for running applications on a large cluster of commodity hardware. The Hadoop framework intends to provide applications with reliability and data motion by offering a computational paradigm named Map/Reduce, which is an application that is divided into many small fragments of work, each of which can be executed or re-executed on any node in the cluster. The framework also aims to provide a distributed file system (HDFS) that stores data on the compute nodes, providing very high aggregate bandwidth across the cluster.",04.11.2016,https://www.programmableweb.com/framework/apache-hadoop-java-framework-apache,Java,Apache Software Foundation,http://wiki.apache.org/hadoop/,http://hadoop.apache.org/,
165,Scoobi Scala Framework by Nicta, Scoobi is a Scala framework library that intends to facilitate the productive building of Hadoop applications. It allows for the functional programming of Scala.,04.11.2016,https://www.programmableweb.com/framework/scoobi-scala-framework-nicta,Scala,Independent Developer,https://github.com/NICTA/scoobi,https://github.com/NICTA/scoobi,
166,ScalaBlitz Scala Framework by ScalaBlitz, ScalaBlitz is a scala framework that intends to provide efficient sequential and data-parallel collections for application development and testing.,04.11.2016,https://www.programmableweb.com/framework/scalablitz-scala-framework-scalablitz,Scala,ScalaBlitz,http://scala-blitz.github.io/,https://github.com/scala-blitz/scala-blitz,
167,ScalaMeter Scala Framework by ScalaMeter, The ScalaMaster framework aims to provide aicrobenchmarking and performance regression testing framework for the JVM platform.,04.11.2016,https://www.programmableweb.com/framework/scalameter-scala-framework-scalameter,Scala,ScalaMeter,http://scalameter.github.io/,https://github.com/scalameter/scalameter,
168,BlueOak Server Node.js Framework by BlueOak," BlueOak Server Node.js Framework by BlueOak is swagger-matic, that is, it maximizes the value of the Swagger-enabled API by using it to drive runtime behavior. BlueOak Server loads the API, connects the paths it defines to developer's implementation code, exposes that API to the network; and validates that every request is well-formed, per that API.",04.11.2016,https://www.programmableweb.com/framework/blueoak-server-node.js-framework-blueoak,"JavaScript, Node.js",Independent Developer,HTTPS://github.com/BlueOakJS/blueoak-server,HTTPS://github.com/BlueOakJS/blueoak-server,
169,Cocos2D-XNA Java Framework by Cocos2D-XNA," Cocos2D-XNA is a 2D/3D game development framework, written specifically for XNA. The framework offers support to other platforms than deprecated Microsoft XNA targets such as the MonoGame runtime.",04.11.2016,https://www.programmableweb.com/framework/cocos2d-xna-java-framework-cocos2d-xna,Java,Cocos2D-XNA,http://www.cocos2dxna.com,https://github.com/Cocos2DXNA/cocos2d-xna,
170,Less CSS Framework by Joni Korpi," The Less Framework is a CSS grid system that aims to assist developers with designing adaptive web sites. It intends to contain 4 layouts and 3 sets of typography presets, all based on a single grid.",04.01.2016,https://www.programmableweb.com/framework/less-css-framework-joni-korpi,CSS,Independent Developer,http://www.jonikorpi.com/less-framework/,https://github.com/jonikorpi/Less-Framework,
171,Ice Cream CSS Framework by Zied Hosni, The Ice Cream CSS framework intends to offer developers a basic grid layout with predefined classes for simple web pages. The framework presents a 12 column layout with responsive design options for multiple screen dimensions and an image wrapper with the goal to minimize grid development from scratch.,04.01.2016,https://www.programmableweb.com/framework/ice-cream-css-framework-zied-hosni,CSS,Independent Developer,http://html5-ninja.com/icecream,https://github.com/html5-ninja/icecream,
172,Formee CSS Framework by Bernard De Luna, Formee is a CSS framework that presents developers with stylized HTML and CSS for most forms on web pages. The framework's goal is to offer web developers and designers with options to customize or to use without additions.,04.01.2016,https://www.programmableweb.com/framework/formee-css-framework-bernard-de-luna,CSS,Independent Developer,http://www.formee.org/,https://github.com/bernarddeluna/Formee,
173,52 Framework CSS Framework by Angel Grablev," The 52 CSS framework intends to provide a grid system for HTML5 form validation and update to standards in web development, CSS3 and HTML5.",04.01.2016,https://www.programmableweb.com/framework/52-framework-css-framework-angel-grablev,CSS,Independent Developer,http://52framework.com/,https://github.com/agrublev/52framework,
174,1kb CSS Framework by Grady Kuhnline," The 1kb Grid aims to be a tool that offers a CSS grid system, loosely based on 960 Grid system (of Nathan Smith). The framework intends to reduce the need for code writing and employment of streamlining CMS page templates all while aiming to be under 1kb.",04.01.2016,https://www.programmableweb.com/framework/1kb-css-framework-grady-kuhnline,CSS,Independent Developer,http://www.1kbgrid.com/,https://github.com/heygrady/compass-grid-plugin,
175,960 Grid System CSS Framework by 960 Grid System," The 960 Grid System aims to offer rapid prototyping, and integration into a production environment. The CSS framework intends to offer printable sketch sheets, design layouts, and a CSS file that have identical measurements.",04.01.2016,https://www.programmableweb.com/framework/960-grid-system-css-framework-960-grid-system,CSS,Independent Developer,http://960.gs/,,
176,Concise CSS Framework by Concise," The Concise CSS framework is written in SASS with PostCSS plugins. It aims to be a lighter option to Bootstrap and Foundation by focusing on native HTML elements only. The intent is to render a lightweight framework with plug-in options to minimize the need to override the presented code. The framework proposes prebuilt yet customizable headers, forms, lists, print stylesheets, and grid layouts that are mobile responsive.",04.01.2016,https://www.programmableweb.com/framework/concise-css-framework-concise,CSS,Independent Developer,http://concisecss.com/,https://github.com/ConciseCSS/concise.css,
177,Xitrum Scala Framework by Xitrum," Xitrum aims to be an async and clustered Scala web framework and HTTP(S) server that is a fusion on top of Netty, Akka, and Hazelcast frameworks.",03.28.2016,https://www.programmableweb.com/framework/xitrum-scala-framework-xitrum,Scala,Independent Developer,http://xitrum-framework.github.io/,https://github.com/xitrum-framework/xitrum,
178,Unfiltered Scala Framework by Unfiltered," Unfiltered is a Scala framework that aims to provide servicing HTTP requests in Scala. It intends to offer a consistent vocabulary for handing requests on various server backends, without impeding direct access to their native interfaces.",03.28.2016,https://www.programmableweb.com/framework/unfiltered-scala-framework-unfiltered,Scala,Independent Developer,https://github.com/unfiltered/unfiltered,http://unfiltered.databinder.net/Unfiltered.html,
